customer_id,age,gender,tenure_months,city_tier,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,total_day_calls,total_eve_calls,total_night_calls,total_day_minutes,total_eve_minutes,total_night_minutes,total_day_charge,total_eve_charge,total_night_charge,total_monthly_charge,customer_service_calls,international_plan,international_calls,voicemail_plan,voicemail_messages,total_data_usage_gb,churned
CUST00025,60,Male,18,Tier-2,Yes,DSL,No,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,114,14,191,112.18,128.89,167.67,46.87,38.82,14.96,87.2,3,No,0,No,0,28.37,No
CUST00026,23,Male,33,Tier-1,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,20,197,69,117.47,175.64,170.38,30.49,21.69,16.35,64.25,5,No,0,No,0,32.72,Yes
CUST00027,25,Female,51,Tier-3,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Credit card,132,69,153,111.84,109.76,118.62,32.6,20.96,18.19,40.08,3,No,0,No,0,50.96,Yes
CUST00028,26,Male,9,Tier-2,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,151,37,162,178.85,189.85,218.56,30.87,28.44,20.84,68.82,7,No,0,No,0,37.92,Yes
CUST00029,42,Female,40,Tier-2,No,No,No internet service,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Credit card,103,13,31,56.46,182.42,200.92,33.27,27.81,19.15,31.83,7,No,0,No,0,83.53,No
CUST00030,44,Female,29,Tier-1,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,96,154,182,132.39,178.73,197.41,25.94,32.61,3.78,75.14,7,No,0,No,0,86.82,Yes
CUST00031,44,Male,20,Tier-1,No,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,No,Electronic check,73,103,37,129.65,127.39,240.68,27.31,25.6,18.22,88.47,3,No,0,No,0,19.98,Yes
CUST00032,39,Male,23,Tier-1,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Credit card,100,148,89,276.93,226.2,170.6,40.71,24.17,19.26,30.19,5,No,0,No,0,47.33,No
CUST00033,41,Male,49,Tier-3,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,149,153,155,153.92,125.76,198.15,41.07,31.76,8.3,67.23,6,No,0,Yes,22,58.59,Yes
CUST00034,18,Female,47,Tier-2,Yes,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,112,113,165,132.17,211.91,171.61,21.71,39.22,15.32,79.27,0,Yes,17,No,0,45.57,No
CUST00035,20,Male,8,Tier-1,No,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,95,87,77,212.49,221.02,186.21,23.97,27.43,21.82,76.55,4,Yes,18,No,0,28.85,Yes
CUST00036,29,Female,5,Tier-1,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer,136,52,171,132.25,212.87,214.22,16.66,28.79,26.39,23.24,8,No,0,No,0,50.77,Yes
CUST00037,28,Female,18,Tier-2,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,41,99,40,170.41,114.87,251.46,32.56,39.83,23.33,80.22,6,No,0,No,0,59.45,Yes
CUST00038,43,Male,21,Tier-3,Yes,No,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card,10,163,112,187.4,275.05,193.62,12.45,28.76,8.84,67.18,3,Yes,12,Yes,8,61.1,Yes
CUST00039,52,Male,44,Tier-3,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Two year,Yes,Mailed check,101,97,11,113.64,187.62,196.28,31.78,16.65,16.9,74.16,4,No,0,No,0,62.41,No
CUST00040,49,Female,16,Tier-3,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,150,25,85,95.95,252.66,198.02,30.28,30.3,19.69,57.26,0,No,0,No,0,63.63,Yes
CUST00041,21,Male,25,Tier-2,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card,160,15,169,139.09,249.79,212.81,36.41,28.28,14.88,56.67,7,No,0,No,0,49.6,No
CUST00042,21,Female,62,Tier-2,No,Fiber optic,No,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,175,192,180,148.27,211.71,277.53,39.84,27.86,14.75,75.12,1,Yes,19,Yes,7,30.03,Yes
CUST00043,66,Female,3,Tier-3,Yes,DSL,Yes,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card,4,4,53,131.33,141.32,239.8,33.44,26.23,11.47,54.45,8,No,0,No,0,70.97,Yes
CUST00044,32,Female,25,Tier-2,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card,186,123,37,194.21,152.47,157.95,36.95,19.39,-2.4,51.95,2,No,0,No,0,49.83,No
CUST00045,60,Male,53,Tier-2,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,190,154,165,159.74,192.07,197.92,24.58,36.39,22.84,70.15,6,Yes,12,No,0,61.12,Yes
CUST00046,27,Male,63,Tier-1,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,One year,No,Mailed check,78,36,21,158.78,220.43,190.68,26.37,31.75,5.95,79.48,9,Yes,17,No,0,41.91,Yes
CUST00047,64,Male,32,Tier-3,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,57,25,173,183.91,197.6,264.93,38.34,25.05,11.38,75.97,2,No,0,Yes,27,52.15,Yes
CUST00048,75,Female,38,Tier-1,No phone service,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Mailed check,188,162,63,170.14,234.49,141.84,17.84,31.54,14.21,47.2,1,No,0,No,0,101.28,No
CUST00049,34,Female,9,Tier-1,Yes,DSL,Yes,No,No internet service,No,No,Yes,One year,Yes,Mailed check,187,62,116,77.33,298.27,298.14,33.28,29.28,19.51,84.12,8,No,0,No,0,42.3,Yes
CUST00050,27,Female,32,Tier-3,Yes,No,No internet service,No internet service,No,No,No,No,One year,No,Credit card,96,1,32,126.44,253.76,231.61,33.52,31.33,23.51,85.75,8,No,0,No,0,30.42,Yes
CUST00051,20,Male,41,Tier-1,No phone service,No,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Credit card,13,11,86,135.08,308.18,122.12,46.72,27.96,14.07,80.64,2,Yes,5,No,0,71.09,Yes
CUST00052,32,Male,7,Tier-2,No,No,No internet service,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card,93,158,185,125.84,278.7,138.71,32.24,40.47,23.42,58.12,3,No,0,No,0,20.71,Yes
CUST00053,52,Female,8,Tier-2,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card,86,41,171,161.53,83.77,164.82,21.06,28.6,23.05,40.31,6,No,0,No,0,47.16,Yes
CUST00054,64,Male,11,Tier-3,No,No,No internet service,No internet service,No,No internet service,Yes,No,One year,Yes,Bank transfer,117,13,79,45.24,212.71,187.04,36.49,16.08,10.81,72.81,3,No,0,No,0,74.67,No
CUST00055,31,Female,37,Tier-3,Yes,No,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,28,0,118,118.81,173.16,285.79,25.19,5.45,7.28,72.55,1,No,0,No,0,65.44,No
CUST00056,49,Female,5,Tier-3,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,174,33,192,148.46,300.17,248.15,25.51,30.67,15.99,71.74,0,No,0,No,0,56.15,No
CUST00057,58,Male,48,Tier-3,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card,76,158,67,211.16,234.71,194.42,37.9,26.09,7.65,51.51,6,Yes,14,No,0,65.36,Yes
CUST00058,28,Male,72,Tier-2,No phone service,DSL,Yes,Yes,No,No internet service,No,No,Two year,No,Mailed check,73,193,173,307.1,201.65,118.47,5.84,24.67,23.12,69.88,4,Yes,15,No,0,53.42,No
CUST00059,78,Female,52,Tier-2,No,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,156,155,34,108.55,208.17,164.16,19.41,30.63,16.65,70.92,6,No,0,No,0,81.17,Yes
CUST00060,30,Male,22,Tier-3,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card,136,25,8,97.03,223.88,236.99,33.17,45.1,10.71,49.13,7,No,0,No,0,44.93,Yes
CUST00061,50,Male,21,Tier-1,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card,175,36,142,114.98,167.85,133.68,24.53,31.64,12.83,54.64,6,No,0,No,0,65.05,No
CUST00062,62,Female,36,Tier-1,No,DSL,No,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer,96,163,130,65.64,137.34,258.1,42.39,27.85,12.4,68.08,4,No,0,No,0,18.97,No
CUST00063,51,Male,30,Tier-1,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer,149,43,185,100.47,231.47,154.25,45.83,26.93,21.57,46.78,3,No,0,No,0,51.63,Yes
CUST00064,35,Female,32,Tier-1,No,Fiber optic,No,No internet service,Yes,No,No,No,Two year,Yes,Credit card,15,37,141,135.46,179.61,142.16,17.8,22.81,21.55,65.59,6,No,0,No,0,19.24,No
CUST00065,62,Male,30,Tier-3,No,No,Yes,No internet service,No internet service,Yes,No,Yes,One year,Yes,Mailed check,157,133,66,116.6,249.6,191.25,35.37,21.02,15.14,64.86,9,No,0,Yes,32,34.89,No
CUST00066,30,Male,8,Tier-2,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,195,24,78,152.83,226.48,196.48,30.64,10.25,10.3,62.84,5,Yes,10,No,0,59.73,Yes
CUST00067,78,Male,56,Tier-1,No,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Credit card,82,136,98,111.51,171.98,246.86,17.26,36.26,11.34,54.47,3,No,0,No,0,80.43,Yes
CUST00068,54,Male,5,Tier-1,Yes,No,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,129,61,148,122.69,219.59,126.05,29.85,35.79,15.6,50.4,4,No,0,Yes,25,53.67,Yes
CUST00069,38,Female,13,Tier-1,Yes,No,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,191,16,119,207.12,143.96,120.04,29.12,39.21,22.05,83.22,5,No,0,No,0,41.87,Yes
CUST00070,60,Male,51,Tier-1,No phone service,No,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,151,16,132,28.3,209.29,211.79,23.89,41.95,21.22,31.95,5,No,0,Yes,37,49.64,Yes
CUST00071,66,Female,68,Tier-3,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer,168,121,118,117.82,246.39,202.85,45.28,35.08,17.69,81.09,9,No,0,No,0,55.37,Yes
CUST00072,63,Male,21,Tier-1,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31,118,38,191.88,159.32,260.69,38.89,37.34,9.81,72.54,5,No,0,Yes,27,47.2,No
CUST00073,41,Female,22,Tier-2,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,No,Mailed check,188,96,183,107.06,212.2,250.1,18.07,27.67,21.63,68.71,4,No,0,Yes,34,54.1,No
CUST00074,65,Male,9,Tier-2,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,85,89,57,77.51,144.68,177.29,21.83,9.06,17.95,70.08,2,Yes,5,No,0,33.59,Yes
CUST00075,31,Male,58,Tier-2,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,131,119,23,201.2,229.63,238.92,21.82,29.97,14.15,58.2,9,No,0,No,0,38.98,No
CUST00076,45,Male,47,Tier-3,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,117,44,160,243.09,146.17,182.52,41.47,26.96,20.99,35.94,4,Yes,9,No,0,55.23,Yes
CUST00077,59,Male,46,Tier-1,No,No,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,68,92,63,175.68,173.36,141.5,29.72,47.72,23.31,58.14,5,Yes,13,No,0,-7.45,No
CUST00078,72,Female,14,Tier-1,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79,143,181,208.01,188.04,164.11,40.53,50.33,8.43,48.57,6,Yes,14,Yes,10,40.31,Yes
CUST00079,22,Male,37,Tier-2,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card,146,114,88,119.63,281.47,213.19,33.74,30.35,12.54,44.05,8,No,0,No,0,38.19,Yes
CUST00080,51,Female,51,Tier-2,No phone service,No,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Credit card,85,75,87,134.89,211.18,203.62,29.86,44.57,19.21,59.56,9,No,0,No,0,49.56,Yes
CUST00081,66,Male,66,Tier-1,No,DSL,No,No,No,No,No,No internet service,One year,Yes,Electronic check,130,199,43,140.98,359.66,214.94,25.74,41.48,15.57,43.43,7,No,0,No,0,34.96,No
CUST00082,33,Male,3,Tier-3,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,106,39,160,128.68,204.48,267.8,24.49,39.44,10.7,82.14,0,No,0,No,0,34.11,Yes
CUST00083,20,Male,68,Tier-2,No,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card,161,153,125,164.67,196.25,137.06,32.77,37.32,9.45,52.4,5,No,0,No,0,29.82,Yes
CUST00084,35,Female,57,Tier-2,Yes,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer,127,149,16,144.85,261.26,201.9,33.72,22.1,20.97,48.18,6,Yes,19,Yes,7,52.71,No
CUST00085,74,Male,53,Tier-2,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,141,144,38,164.11,237.33,181.03,16.86,24.21,10.24,60.45,2,No,0,Yes,19,27.23,No
CUST00086,59,Male,28,Tier-1,Yes,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,70,62,72,194.43,173.66,232.97,33.4,23.54,10.45,66.38,8,Yes,19,No,0,42.27,Yes
CUST00087,58,Female,55,Tier-2,No,No,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer,61,112,175,154.16,176.64,163.31,33.48,41.64,16.33,74.63,0,Yes,0,Yes,22,50.72,No
CUST00088,68,Female,20,Tier-3,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,178,131,54,101.73,201.51,187.17,34.24,31.43,22.4,74.17,0,No,0,No,0,1.94,Yes
CUST00089,62,Male,40,Tier-2,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,175,83,55,198.13,318.19,214.9,26.9,12.06,7.75,60.25,9,No,0,No,0,55.77,Yes
CUST00090,30,Female,11,Tier-1,Yes,DSL,No internet service,Yes,No internet service,No,No,No,Two year,No,Mailed check,138,76,126,114.58,124.31,109.84,32.67,35.09,7.09,78.43,9,No,0,No,0,18.32,Yes
CUST00091,21,Female,33,Tier-2,Yes,DSL,No,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer,81,146,155,195.99,205.7,116.28,24.74,45.06,21.65,84.9,2,No,0,Yes,17,32.08,Yes
CUST00092,20,Female,40,Tier-3,Yes,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,168,11,162,108.2,194.86,239.91,24.3,36.18,21.68,62.89,5,No,0,No,0,46.08,Yes
CUST00093,58,Male,23,Tier-1,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,47,159,56,146.09,182.72,269.85,34.49,19.7,14.23,71.46,9,No,0,No,0,111.74,Yes
CUST00094,21,Male,50,Tier-2,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,119,87,186,94.26,204.88,194.29,28.51,37.36,6.96,51.5,4,No,0,No,0,46.85,Yes
CUST00095,64,Female,17,Tier-1,No,DSL,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,21,67,68,159.17,140.99,278.64,27.81,42.28,9.68,51.9,2,Yes,13,No,0,55.01,Yes
CUST00096,28,Female,51,Tier-3,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,98,81,103,203.27,168.28,285.94,30.85,29.15,17.62,69.07,4,No,0,No,0,44.26,Yes
CUST00097,34,Male,19,Tier-2,No,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card,107,51,95,53.76,196.07,362.73,11.85,49.36,18.71,67.81,2,No,0,No,0,25.11,No
CUST00098,34,Male,72,Tier-1,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card,37,66,186,186.13,156.88,311.99,40.85,34.9,21.07,51.98,8,No,0,No,0,59.2,No
CUST00099,54,Male,8,Tier-3,Yes,DSL,No,No,Yes,No internet service,No,No,Two year,No,Electronic check,127,126,0,167.57,253.51,198.67,28.37,22.55,11.62,62.83,2,No,0,No,0,32.36,No
CUST00100,77,Female,60,Tier-1,Yes,Fiber optic,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,12,183,110,171.32,183.05,120.37,25.31,23.02,15.3,59.87,6,No,0,No,0,34.85,No
CUST00101,27,Female,72,Tier-2,Yes,No,No internet service,Yes,No internet service,Yes,No,Yes,Two year,Yes,Credit card,147,159,113,190.36,151.32,223.82,40.6,57.6,16.96,57.37,1,No,0,Yes,33,60.11,No
CUST00102,43,Female,38,Tier-3,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,87,49,7,107.08,256.28,186.35,37.29,25.12,20.14,55.04,2,No,0,No,0,34.45,No
CUST00103,27,Male,23,Tier-1,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,12,100,160,117.09,180.31,219.89,28.15,12.59,14.98,50.45,6,No,0,No,0,53.16,Yes
CUST00104,53,Male,2,Tier-1,No phone service,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,72,165,53,136.35,218.26,248.55,22.58,25.82,21.37,77.15,5,No,0,No,0,82.05,Yes
CUST00105,27,Male,44,Tier-1,No,No,No,No internet service,No,Yes,No,No internet service,One year,Yes,Credit card,73,45,12,73.73,143.31,189.1,37.79,5.9,14.61,65.23,8,No,0,No,0,-2.78,No
CUST00106,64,Female,34,Tier-1,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,One year,No,Bank transfer,134,152,32,107.67,236.56,247.79,48.82,37.86,20.14,66.97,2,Yes,10,No,0,88.38,No
CUST00107,45,Male,44,Tier-1,No,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,89,103,136,159.39,120.31,264.6,44.7,33.25,18.31,52.01,6,Yes,9,No,0,76.98,Yes
CUST00108,69,Female,54,Tier-2,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Credit card,46,158,173,95.55,192.21,201.89,30.04,13.74,12.35,68.37,5,No,0,No,0,61.69,No
CUST00109,65,Male,50,Tier-3,Yes,No,No,No internet service,Yes,No,No,No internet service,Two year,Yes,Electronic check,155,69,168,152.4,216.59,178.81,22.83,31.57,15.81,65.62,3,No,0,No,0,17.65,No
CUST00110,47,Male,43,Tier-2,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Credit card,186,83,87,178.12,220.86,256.89,24.51,42.7,21.83,68.5,4,No,0,No,0,56.99,No
CUST00111,53,Male,54,Tier-1,No phone service,No,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Credit card,154,33,128,82.79,119.84,212.38,31.01,35.88,20.96,56.12,3,No,0,No,0,53.01,No
CUST00112,22,Female,65,Tier-1,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,One year,No,Credit card,97,168,67,72.99,299.17,227.46,21.95,39.58,18.9,60.64,6,No,0,No,0,102.68,Yes
CUST00113,45,Female,68,Tier-1,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,One year,No,Electronic check,164,128,194,117.35,260.67,203.16,23.96,29.51,16.84,62.31,4,No,0,Yes,5,76.21,No
CUST00114,68,Male,36,Tier-2,No,No,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,196,140,86,192.69,211.82,171.47,23.83,26.24,8.12,58.04,5,No,0,No,0,64.68,Yes
CUST00115,28,Female,10,Tier-2,No,No,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer,16,67,47,202.6,150.1,180.8,49.96,61.1,18.03,62.25,7,Yes,14,No,0,55.0,No
CUST00116,46,Male,13,Tier-1,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,Yes,Mailed check,83,51,2,165.59,177.56,164.53,11.2,34.93,21.46,14.2,3,No,0,Yes,34,87.52,No
CUST00117,66,Female,65,Tier-1,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Bank transfer,79,133,12,159.36,211.5,252.71,39.67,24.39,11.09,65.04,7,No,0,No,0,79.87,Yes
CUST00118,44,Female,17,Tier-3,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,One year,Yes,Credit card,4,56,155,115.74,192.42,164.82,48.13,23.43,12.84,62.55,6,No,0,No,0,68.64,Yes
